amount,channel,hour,is_new_device,device_trust_score,days_since_last_tx,tx_velocity_1h,merchant_risk_score,customer_age,has_chargeback_history,country_risk_score,target
159.85,PIX,6,0,0.278,3.11,3,0.03,26,0,0.57,0
47.66,CARD,4,0,0.403,1.38,1,0.117,48,0,0.114,0
238.75,PIX,3,1,0.155,0.2,1,0.497,42,0,0.689,0
283.3,PIX,4,0,0.159,1.2,1,0.301,28,0,0.382,1
20.99,CARD,10,1,0.332,0.35,1,0.218,51,1,0.383,0
37.64,CARD,9,0,0.501,0.22,0,0.522,54,1,0.204,0
136.33,PIX,9,1,0.308,0.08,0,0.41,30,0,0.497,0
91.41,CARD,7,0,0.603,5.16,1,0.266,55,1,0.588,0
119.69,CARD,10,0,0.318,5.46,3,0.083,34,0,0.575,0
56.39,PIX,15,1,0.161,0.42,1,0.191,21,1,0.263,0
268.13,CARD,1,0,0.323,6.07,0,0.413,30,0,0.349,0
244.7,CARD,21,0,0.252,3.31,7,0.489,31,0,0.541,1
128.95,CARD,7,0,0.502,0.21,1,0.749,27,1,0.573,0
335.13,CARD,3,0,0.336,5.46,1,0.22,28,0,0.336,0
185.07,PIX,4,0,0.503,3.87,2,0.661,33,0,0.506,0
56.07,PIX,13,0,0.58,0.22,0,0.566,36,0,0.23,0
169.33,PIX,12,0,0.616,1.63,1,0.346,22,0,0.349,0
51.26,PIX,2,1,0.711,0.37,2,0.527,31,1,0.198,0
267.9,PIX,11,1,0.495,0.2,1,0.468,43,0,0.648,0
116.17,CARD,5,1,0.793,2.57,1,0.543,34,1,0.163,0
102.89,PIX,21,0,0.556,1.13,0,0.863,32,1,0.357,0
65.84,CARD,7,0,0.374,3.37,4,0.675,23,1,0.701,0
365.14,PIX,23,1,0.279,2.52,0,0.336,28,0,0.484,0
105.73,PIX,13,1,0.84,0.76,0,0.527,60,0,0.24,0
82.64,CARD,23,1,0.556,6.02,0,0.17,52,0,0.091,0
88.51,CARD,13,0,0.514,8.08,1,0.586,39,0,0.535,0
196.19,PIX,3,1,0.42,5.66,4,0.172,25,0,0.977,0
168.83,CARD,15,1,0.51,2.72,0,0.616,32,1,0.896,0
176.17,PIX,11,0,0.534,1.88,0,0.602,43,1,0.064,0
179.06,PIX,19,0,0.404,1.83,1,0.49,42,0,0.365,0
835.04,PIX,9,1,0.589,0.66,2,0.57,39,1,0.252,1
84.29,CARD,4,1,0.457,3.15,1,0.36,48,0,0.245,0
76.63,PIX,2,1,0.661,0.82,1,0.392,27,1,0.453,0
58.42,CARD,17,0,0.501,4.27,0,0.306,45,1,0.148,1
211.53,PIX,5,1,0.586,0.51,2,0.861,39,0,0.393,0
335.65,PIX,16,1,0.368,1.5,2,0.837,45,0,0.466,1
109.67,CARD,3,1,0.424,8.83,1,0.667,33,1,0.456,1
57.05,PIX,1,1,0.286,1.59,2,0.67,46,0,0.314,0
57.86,PIX,17,1,0.043,2.02,0,0.898,46,1,0.322,0
218.23,PIX,8,1,0.667,7.03,0,0.719,33,0,0.038,0
237.21,PIX,13,1,0.327,7.06,1,0.757,42,1,0.758,0
198.11,PIX,0,1,0.412,1.6,3,0.294,42,0,0.572,0
66.76,PIX,4,1,0.616,0.33,4,0.588,47,1,0.083,0
149.75,CARD,2,0,0.384,1.34,1,0.41,32,0,0.613,0
134.97,PIX,6,1,0.178,0.71,3,0.254,42,1,0.157,1
147.94,PIX,6,0,0.287,0.11,0,0.378,47,0,0.123,0
266.21,CARD,8,0,0.204,2.21,1,0.527,43,0,0.531,0
148.6,PIX,5,1,0.141,0.14,1,0.516,38,1,0.401,0
223.86,CARD,10,0,0.659,0.36,3,0.597,46,1,0.304,0
129.13,CARD,21,1,0.508,4.08,1,0.326,31,0,0.559,0
157.62,PIX,2,1,0.702,2.58,0,0.206,32,1,0.368,0
214.47,PIX,21,0,0.6,1.99,1,0.539,41,0,0.534,0
32.74,PIX,9,0,0.497,0.69,0,0.538,50,0,0.273,0
91.13,PIX,13,0,0.305,2.35,3,0.421,32,1,0.532,0
79.57,PIX,16,0,0.683,2.84,0,0.748,33,1,0.133,0
68.38,CARD,17,0,0.519,0.49,1,0.699,39,0,0.555,0
94.86,CARD,22,1,0.165,0.78,0,0.761,39,0,0.669,0
466.59,PIX,23,1,0.202,11.81,3,0.656,42,0,0.827,1
55.74,CARD,2,0,0.208,4.28,2,0.25,35,0,0.27,0
290.46,PIX,9,1,0.366,0.17,0,0.84,21,0,0.649,0
26.72,CARD,12,1,0.798,1.02,1,0.395,43,1,0.479,0
89.89,CARD,12,1,0.489,0.18,3,0.633,41,1,0.346,0
140.68,PIX,23,0,0.35,2.37,1,0.533,41,1,0.206,1
205.94,PIX,15,0,0.213,2.7,1,0.436,36,0,0.244,0
230.47,PIX,9,1,0.224,12.24,2,0.191,47,1,0.327,0
248.14,CARD,22,1,0.393,3.43,1,0.114,32,1,0.405,0
88.78,PIX,17,0,0.608,0.48,1,0.857,41,1,0.47,1
80.15,CARD,19,0,0.743,0.78,1,0.287,25,1,0.262,0
263.01,PIX,15,0,0.491,0.63,1,0.664,54,1,0.212,1
102.29,PIX,1,0,0.494,0.19,2,0.455,18,1,0.084,0
38.55,CARD,23,1,0.081,0.46,1,0.412,33,0,0.729,0
43.82,PIX,17,1,0.193,0.21,0,0.816,22,1,0.874,1
53.12,PIX,3,0,0.48,3.78,0,0.598,31,0,0.644,0
190.08,CARD,6,1,0.711,4.72,4,0.172,26,0,0.471,1
138.13,PIX,8,0,0.887,1.0,1,0.676,30,0,0.326,0
226.2,CARD,6,1,0.61,6.14,2,0.79,40,0,0.329,0
82.72,CARD,14,1,0.094,2.22,4,0.446,30,1,0.651,1
140.15,PIX,13,1,0.126,4.97,2,0.784,26,1,0.366,0
213.37,PIX,5,1,0.304,0.03,3,0.541,46,1,0.229,1
91.98,PIX,16,0,0.721,1.83,3,0.475,48,0,0.033,1
183.3,CARD,6,0,0.314,3.0,3,0.813,44,1,0.256,0
66.97,CARD,3,0,0.483,5.71,2,0.244,39,1,0.198,0
87.64,CARD,22,0,0.831,2.64,0,0.056,36,0,0.676,0
86.18,CARD,7,0,0.691,2.05,1,0.985,33,0,0.4,0
41.42,PIX,5,1,0.538,4.06,1,0.069,53,0,0.16,0
188.34,PIX,17,0,0.418,0.88,1,0.158,44,0,0.171,0
79.64,PIX,18,1,0.303,5.88,2,0.553,36,1,0.065,0
122.88,CARD,3,1,0.466,4.7,0,0.436,19,1,0.225,0
187.29,PIX,1,1,0.233,1.3,4,0.723,39,1,0.072,1
181.61,PIX,20,1,0.469,1.03,0,0.536,20,1,0.585,0
221.15,PIX,12,1,0.752,0.75,1,0.545,38,1,0.316,0
111.2,PIX,10,0,0.077,0.66,1,0.747,44,0,0.502,0
83.02,PIX,10,1,0.074,4.86,1,0.79,47,0,0.539,0
113.1,PIX,14,1,0.472,3.48,2,0.765,30,0,0.557,0
26.61,CARD,16,1,0.185,3.39,0,0.534,30,1,0.398,0
33.04,CARD,1,0,0.307,0.55,3,0.533,21,1,0.586,0
36.95,PIX,6,0,0.784,1.47,2,0.534,29,0,0.311,0
49.53,CARD,22,0,0.338,0.29,4,0.246,31,1,0.254,0
174.13,PIX,4,0,0.601,12.58,0,0.79,25,1,0.451,0
53.79,CARD,21,0,0.307,4.31,2,0.556,33,1,0.297,0
86.46,PIX,9,0,0.49,1.22,2,0.761,37,0,0.104,0
391.23,CARD,4,1,0.38,1.73,2,0.306,31,0,0.298,0
88.18,PIX,14,0,0.593,0.79,0,0.165,21,0,0.403,0
235.98,PIX,15,0,0.157,0.92,3,0.274,18,0,0.222,0
52.44,CARD,8,0,0.557,4.34,3,0.094,53,1,0.377,0
101.0,CARD,19,1,0.064,3.65,0,0.076,35,1,0.902,0
51.68,CARD,1,0,0.381,1.85,2,0.696,26,0,0.36,0
89.56,PIX,2,1,0.276,2.69,1,0.521,23,1,0.252,1
258.86,PIX,14,1,0.905,5.36,1,0.811,31,0,0.792,0
25.67,CARD,13,1,0.583,1.67,1,0.153,36,0,0.913,0
179.64,PIX,16,1,0.141,8.5,2,0.545,37,0,0.703,1
150.5,PIX,20,1,0.544,2.42,0,0.568,47,1,0.189,0
71.18,PIX,22,0,0.566,3.11,2,0.601,27,1,0.482,0
33.07,PIX,12,1,0.326,0.8,0,0.689,38,1,0.827,0
129.66,PIX,12,0,0.58,1.4,3,0.556,48,0,0.78,0
75.45,PIX,22,1,0.262,0.15,1,0.49,24,1,0.231,0
149.82,CARD,23,0,0.551,0.37,3,0.434,42,1,0.446,0
123.92,CARD,1,1,0.364,0.39,2,0.616,35,0,0.302,0
513.68,CARD,12,0,0.901,1.04,0,0.572,36,1,0.176,0
97.96,CARD,22,0,0.337,6.2,1,0.456,35,0,0.432,0
48.37,PIX,1,1,0.805,3.7,2,0.245,32,1,0.379,0
142.79,CARD,23,0,0.168,2.68,3,0.389,26,0,0.361,0
148.12,CARD,17,1,0.37,3.63,3,0.52,40,0,0.714,0
412.93,PIX,3,1,0.091,0.68,1,0.73,42,1,0.068,0
257.65,PIX,15,0,0.611,4.6,1,0.747,51,1,0.593,0
167.53,CARD,10,0,0.652,0.21,0,0.723,34,0,0.549,0
453.49,CARD,8,0,0.517,0.03,3,0.691,31,1,0.599,0
41.68,CARD,14,1,0.297,1.42,2,0.555,43,0,0.298,0
68.32,CARD,17,1,0.121,4.51,2,0.781,41,0,0.728,0
52.78,CARD,21,1,0.809,6.53,1,0.679,47,1,0.763,0
85.56,CARD,10,0,0.149,1.0,0,0.416,21,0,0.369,0
35.2,CARD,3,0,0.351,0.41,1,0.562,39,0,0.427,0
